MLIP_name,Normal rate (%),Adsorbate migration rate (%),Anomaly rate (%),Anomaly rate - reproduction failure (%),Anomaly rate - unphysical relaxation (%),Anomaly rate - energy anomaly (%),MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Time_total (ms),Time_per_step (ms),Steps_total,Time_per_step (s)
chgnet-0.3.0,77.58475515178374,9.698648349213384,12.71659649900288,0.4631065809882561,10.30799911367161,1.945490804343009,0.6385309378698005,0.5118825861122328,0.5750294721154994,73.99164856516701,84.23038507547294,45130.0,46982389.21904564,23.12349633259014,2031803.0,0.02312349633259014
chgnet-r2scan,69.09594504764016,8.488810104143585,22.41524484821626,0.6846886771548859,20.6448038998449,1.085752271216486,0.736639803973595,0.5123956151272138,0.5613585037287686,58.05382912117282,76.00826281750054,45130.0,65657689.15891647,26.5598340008246,2472067.0,0.0265598340008246
mattersim-5M,77.988034566807,10.34566807001994,11.66629736317306,0.3390206071349435,9.878129847108355,1.449146908929758,1.444048182196673,0.3986827071176584,1.673569181122113,79.4721256070928,86.40269902052513,45130.0,61431389.68801498,20.27399126156124,3030059.0,0.02027399126156124
nequip-m,81.24750720141812,8.393529802791933,10.35896299578994,0.2703301573232882,7.595834256592067,2.492798581874585,0.8787478733734378,0.3537583740977396,1.015621044259568,83.67697279457263,89.208170519114,45130.0,50282548.0287075,22.92111216859178,2193722.0,0.02292111216859178
nequip-s,74.95235984932418,11.57544870374474,13.47219144693109,0.9328606248615112,8.867715488588521,3.671615333481055,1.109947327707042,0.5438921178327537,1.298810599151777,76.49112350014407,84.1744800002049,45130.0,26987148.88858795,7.627080008746478,3538333.0,0.007627080008746478
sevennet-matpes_pbe,90.31243075559495,5.171726124529138,4.515843119875914,0.06647462884998892,4.298692665632617,0.1506758253933082,0.2489440796133588,0.1936378946902984,0.1975664866272177,87.0883275395059,91.98157397757096,45130.0,78331388.82946968,66.65003678277365,1175264.0,0.06665003678277365
sevennet-matpes_pbe-cueq,90.27919344116995,5.187236871260803,4.533569687569244,0.081985375581653,4.300908486594284,0.1506758253933082,0.2495898897745907,0.1936779391162151,0.1975666253305147,87.03341358389345,91.94117406290128,45130.0,55201897.58753777,47.44367124689007,1163525.0,0.04744367124689007
sevennet-matpes_r2scan,87.03301573232883,6.031464657655661,6.935519610015511,0.06647462884998892,6.698426767117217,0.1706182140483049,0.3300238606913865,0.2585696707532392,0.2554520144052227,79.60096970111329,88.18457999667726,45130.0,105181082.9691887,75.57806273330567,1391688.0,0.07557806273330567
sevennet-matpes_r2scan-cueq,87.02636826944384,6.049191225348991,6.924440505207179,0.07755373365832041,6.676268557500554,0.1706182140483049,0.3298781000348047,0.2586656639503649,0.2554521838280788,79.49412632741914,88.12093113659476,45130.0,62995057.81674385,45.90352349333097,1372336.0,0.045903523493330975
sevennet-mpa,84.08597385331265,6.775980500775537,9.138045645911811,0.0842011965433193,6.357190339020607,2.696654110347884,0.6719274673628651,0.1903531362626869,0.7279862738357264,86.12492360530469,90.72229154618893,45130.0,98467471.75621986,67.72266746004236,1453981.0,0.06772266746004237
