MLIP_name,Normal rate (%),Adsorbate migration rate (%),Anomaly rate (%),Anomaly rate - reproduction failure (%),Anomaly rate - unphysical relaxation (%),Anomaly rate - energy anomaly (%),MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Time_total (ms),Time_per_step (ms),Steps_total,Time_per_step (s)
chgnet-0.3.0,79.07692307692308,5.538461538461538,15.38461538461539,1.846153846153846,13.53846153846154,0,0.3547591433628061,0.3111647779807222,0.2872540616407024,75.23254840397695,80.74861469626526,325.0,1418623.020648956,29.35041628354691,48334.0,0.02935041628354691
chgnet-r2scan,66.76923076923077,4.0,29.23076923076923,4,23.69230769230769,1.538461538461539,0.6103877328047992,0.3817058518271949,0.42780489847195,62.58147566718992,72.50641886078098,325.0,2527995.432853699,30.19691858109701,83717.0,0.03019691858109701
mattersim-1M,73.84615384615385,7.076923076923077,19.07692307692308,8.307692307692308,10.46153846153846,0.3076923076923077,0.5429981035417549,0.3012302333866979,0.273942438014779,74.90622710622704,79.65348477026366,325.0,2435392.303466797,28.90947868600932,84242.0,0.028909478686009318
mattersim-5M,77.23076923076924,6.153846153846154,16.61538461538462,5.230769230769231,11.38461538461539,0,0.4206900102644905,0.2085632295822952,0.2087093925524682,78.47933019361611,81.68803992428127,325.0,1662166.347503662,22.16517332315858,74990.0,0.02216517332315858
nequip-l,80.0,3.692307692307693,16.30769230769231,3.076923076923077,6.769230769230769,6.461538461538462,1.256741556462488,1.055763421811202,1.43262854961329,83.09052851909988,86.70820856995346,325.0,3927110.749721527,80.4126123578747,48837.0,0.08041261235787471
nequip-m,77.23076923076924,5.538461538461538,17.23076923076923,7.384615384615385,9.538461538461538,0.3076923076923077,0.6315315047481281,0.4805266893605774,0.4756814918737006,77.80753532182136,82.13495095508546,325.0,2371556.110143661,25.4267836404381,93270.0,0.0254267836404381
nequip-s,57.84615384615385,7.076923076923077,35.07692307692308,8.615384615384615,26.15384615384616,0.3076923076923077,0.766071168906004,0.5936163263304693,0.5092840158409666,61.59853479853478,70.50246085011187,325.0,887017.3871517181,8.258315291565122,107409.0,0.008258315291565121
nequip-XL,85.84615384615385,4.923076923076923,9.230769230769232,3.076923076923077,6.153846153846154,0,0.6684374503350289,0.5336274721634306,0.6025007109213488,84.45421245421244,87.26584064704838,325.0,5783467.520713806,117.4785196163682,49230.0,0.11747851961636821
sevennet-matpes_pbe,79.6923076923077,4.307692307692307,16,5.846153846153846,8.615384615384615,1.538461538461539,0.4991769035142947,0.2431030709261501,0.2971894830057759,81.37090528519076,85.53708483909811,325.0,7468078.010082245,88.03581292092709,84830.0,0.08803581292092709
sevennet-matpes_pbe-cueq,79.6923076923077,4.0,16.30769230769231,6.769230769230769,8,1.538461538461539,0.4872656403079772,0.2431272276070489,0.2971905261787589,81.2023024594454,85.44161073825522,325.0,3515604.657888412,42.92714822140509,81897.0,0.042927148221405094
