MLIP_name,Normal rate (%),Adsorbate migration rate (%),Anomaly rate (%),Anomaly rate - reproduction failure (%),Anomaly rate - unphysical relaxation (%),Anomaly rate - energy anomaly (%),MAE_total (eV),MAE_normal (eV),MAE_single (eV),ADwT (%),AMDwT (%),Num_total,Time_total (ms),Time_per_step (ms),Steps_total,Time_per_step (s)
chgnet-0.3.0-d3,37.26895511127876,50.16974726518295,12.56129762353829,0,10.78838174273859,1.772915880799698,1.053991696926764,0.7668386665802726,0.8967666280665543,64.12162526270406,65.47634297808361,2651.0,31546187.31760979,176.1943416495,179042.0,0.17619434164949999
chgnet-r2scan-d3,37.23123349679366,45.03960769520936,17.72915880799698,0,16.37118068653339,1.357978121463599,0.8803028149909797,0.6103712554201535,0.9153914536990234,56.17383505646693,63.16545105177483,2651.0,33846644.92583275,175.0257001765052,193381.0,0.1750257001765052
mattersim-1M-d3,36.09958506224066,56.35609204073935,7.544322897019992,0,7.544322897019992,0,0.520327010071564,0.361054114988751,0.5940323486482534,69.63283012186389,67.50325950192277,2651.0,27468111.86814308,154.8441410443711,177392.0,0.1548441410443711
mattersim-5M-d3,43.64390795926066,50.73557148245945,5.620520558279894,0,5.431912485854395,0.1886080724254998,0.9584584842358116,0.6396534985560719,1.901093234103375,71.07344937220454,68.91530105139513,2651.0,25134510.9899044,144.7015295995049,173699.0,0.1447015295995049
nequip-l-d3,78.53640135797812,20.52055827989438,0.943040362127499,0,0.943040362127499,0,0.5656960872653949,0.5392914010829909,1.614779800964489,78.6997205521212,81.60371292079203,2651.0,21486004.09817696,196.6826321211343,109242.0,0.1966826321211343
nequip-m-d3,67.97434930215013,30.32817804602037,1.697472651829498,0,1.207091663523199,0.4903809883062996,0.8123676681938695,0.742333291411971,1.194674957865923,76.86725840845577,76.78496654421912,2651.0,22547399.34420586,170.8162195200371,131998.0,0.1708162195200371
nequip-s-d3,27.87627310448887,59.26065635609204,12.86307053941909,0,11.69370049038099,1.169370049038099,1.148190674484422,0.8672058971743841,1.280748603267207,64.53887250864133,62.95027329183106,2651.0,23591006.20102882,122.2870497422638,192915.0,0.1222870497422638
nequip-XL-d3,80.15843078083742,19.12485854394568,0.7167106752168994,0,0.7167106752168994,0,0.5462157264119187,0.5230787191931747,1.623185337551274,79.84514892339439,82.54644948468237,2651.0,24969819.54288483,238.4140580608292,104733.0,0.23841405806082921
sevennet-matpes_pbe-cueq-d3,87.62731044888721,11.61825726141079,0.7544322897019993,0,0.7544322897019993,0,0.3510780606771524,0.3443228871533468,0.6050080722078292,82.9162272226882,87.40127190195386,2651.0,11469927.64759064,162.5671837232037,70555.0,0.1625671837232037
sevennet-matpes_r2scan-cueq-d3,85.13768389287063,13.95699735948699,0.9053187476423992,0,0.9053187476423992,0,0.2495807840550723,0.245435743078307,0.5581116758644176,78.60060508548942,85.4722923349174,2651.0,12718432.17515945,164.5845045701053,77276.0,0.16458450457010532
sevennet-mpa-cueq-d3,84.19464353074312,14.90003772161448,0.9053187476423992,0,0.9053187476423992,0,0.3249841665989574,0.3140547170959357,0.792364049352637,82.24070239185819,86.5640419342837,2651.0,11674851.20725632,157.845049040835,73964.0,0.157845049040835
sevennet-oc20-cueq-d3,31.38438325160317,25.16031686156168,43.45529988683516,0,40.66390041493776,2.791399471897397,0.9753522058934464,0.991807863526009,1.773078012009721,30.76467101363365,54.04664315605866,2651.0,30609356.04071617,173.1886162765428,176740.0,0.1731886162765428
sevennet-oc22-cueq-d3,82.00678989060732,15.50358355337609,2.489626556016598,0,2.489626556016598,0,0.3671745569298532,0.346939495895579,0.7228297004364211,73.93147753254455,82.10748634806635,2651.0,15948562.37339973,165.5823664673242,96318.0,0.1655823664673242
sevennet-omat24-cueq-d3,84.15692191625801,15.01320256506979,0.8298755186721992,0,0.7921539041870993,0.03772161448509996,0.2957778429360233,0.2838416956021538,0.8020772520369599,81.13792253981934,85.89523011450666,2651.0,12047630.89132309,160.4019610342714,75109.0,0.1604019610342714
uma-oc20-d3,37.91022255752546,20.67144473783478,41.41833270463976,0,37.34439834024896,4.073934364390796,0.8852514625465138,0.8527412543391137,1.806496049009596,31.30447501520411,55.47819108402807,2651.0,27895096.24671936,167.5713279311777,166467.0,0.1675713279311777
uma-oc22-d3,1.923802338740098,20.44511505092418,77.63108261033572,0,7.959260656356092,69.67182195397963,6.510958436944983,1.503750709653844,8.244735536522718,69.577748866427,77.15698014425352,2651.0,23131426.415205,180.956014794804,127829.0,0.180956014794804
uma-oc25,88.30629950961901,10.44888721237269,1.244813278008299,0,1.244813278008299,0,0.2949493703524417,0.2873281087805067,0.4242835974665507,86.72637972578686,88.4986417687131,2651.0,4232041.746854782,64.97937549869923,65129.0,0.06497937549869923
uma-omat-d3,78.23462844209732,21.27499056959638,0.4903809883062996,0,0.4903809883062996,0,0.3018199051622034,0.2892861676877229,0.452432715889541,77.66268408532777,80.77600196456213,2651.0,20023390.11192322,177.140140944321,113037.0,0.17714014094432098
